,key,val_accuracy,train_accuracy,depth,optimizer,lay_%dropout,lay_%gru,lay_%lstm,lay_%bgru,lay_%blstm,lay_%dense,lay_%conv1d,lay_%cl2d,lay_%pool,window_size,overlap%,batch_size,avg_num_nodes
79,BidirectionalGRU,0.8980263471603394,0.9750727415084839,7,RMSprop,0.14285714285714285,0.0,0.0,0.7142857142857143,0.0,0.14285714285714285,0.0,0.0,0.0,50,0,256,216
80,BidirectionalGRU,0.8980263471603394,0.9799543023109436,5,RMSprop,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,50,0,256,300
81,BidirectionalGRU,0.8947368264198303,0.9708142876625061,5,RMSprop,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,50,0,256,300
82,BidirectionalGRU,0.8914473652839661,0.980889081954956,6,adam,0.16666666666666666,0.0,0.0,0.5,0.0,0.3333333333333333,0.0,0.0,0.0,50,0,256,270
83,BidirectionalGRU,0.8913043737411499,0.9455535411834717,4,adam,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,200,0,64,275
84,BidirectionalGRU,0.8913043737411499,0.9546279907226562,4,RMSprop,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,200,0,64,275
85,BidirectionalGRU,0.8888888955116272,0.993027925491333,5,adam,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,400,0,16,300
86,BidirectionalGRU,0.8888888955116272,0.9880478382110596,7,RMSprop,0.14285714285714285,0.0,0.0,0.7142857142857143,0.0,0.14285714285714285,0.0,0.0,0.0,400,0,16,210
87,BidirectionalGRU,0.8888888955116272,0.93824702501297,4,RMSprop,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,400,0,16,275
88,BidirectionalGRU,0.8881579041481018,0.9715413451194763,4,RMSprop,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,50,0,256,350
89,BidirectionalGRU,0.888157844543457,0.9574158787727356,4,RMSprop,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,50,0,256,275
90,BidirectionalGRU,0.8863636255264282,0.9202454090118408,4,RMSprop,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,400,0,64,275
91,BidirectionalGRU,0.8863636255264282,0.9570552110671997,3,adam,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,400,0,64,500
92,BidirectionalGRU,0.8782894611358643,0.9773577451705933,5,RMSprop,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,50,0,256,300
93,BidirectionalGRU,0.875,0.9788118004798889,5,adam,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,50,0,256,300
94,BidirectionalGRU,0.8717105388641357,0.9883672595024109,3,adam,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,50,0,256,500
95,BidirectionalGRU,0.8717105388641357,0.9853552579879761,4,adam,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,50,0,256,350
96,BidirectionalGRU,0.8717105388641357,0.9842126965522766,7,RMSprop,0.14285714285714285,0.0,0.0,0.7142857142857143,0.0,0.14285714285714285,0.0,0.0,0.0,50,0,256,216
97,BidirectionalGRU,0.8684210777282715,0.9836933612823486,6,adam,0.16666666666666666,0.0,0.0,0.5,0.0,0.3333333333333333,0.0,0.0,0.0,50,0,256,270
98,BidirectionalGRU,0.8519736528396606,0.9803697466850281,4,adam,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,50,0,256,350
99,BidirectionalGRU,0.8500000238418579,0.975300669670105,3,RMSprop,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,50,0,16,500
100,BidirectionalGRU,0.8478261232376099,0.9609800577163696,4,RMSprop,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,200,0,64,275
101,BidirectionalGRU,0.8409091234207153,0.9783873558044434,4,adam,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,50,0,64,336
102,BidirectionalGRU,0.8409091234207153,0.9819201827049255,4,adam,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,50,0,64,336
103,BidirectionalGRU,0.8409091234207153,0.9769326448440552,7,RMSprop,0.14285714285714285,0.0,0.0,0.7142857142857143,0.0,0.14285714285714285,0.0,0.0,0.0,50,0,64,210
104,BidirectionalGRU,0.8382352590560913,0.9883303642272949,7,RMSprop,0.14285714285714285,0.0,0.0,0.7142857142857143,0.0,0.14285714285714285,0.0,0.0,0.0,200,0,16,216
105,BidirectionalGRU,0.8376623392105103,0.9935578107833862,5,RMSprop,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,50,0,64,300
106,BidirectionalGRU,0.8376623392105103,0.9824397563934326,4,RMSprop,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,50,0,64,336
107,BidirectionalGRU,0.8344155550003052,0.9756858348846436,6,adam,0.16666666666666666,0.0,0.0,0.5,0.0,0.3333333333333333,0.0,0.0,0.0,50,0,64,262
108,BidirectionalGRU,0.8333333730697632,0.7654321193695068,4,RMSprop,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,50,25,64,275
109,BidirectionalGRU,0.8333333730697632,0.8395061492919922,3,adam,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,50,25,64,500
110,BidirectionalGRU,0.8333333730697632,0.7530864477157593,7,RMSprop,0.14285714285714285,0.0,0.0,0.7142857142857143,0.0,0.14285714285714285,0.0,0.0,0.0,50,50,16,210
111,BidirectionalGRU,0.8333333730697632,0.8518518209457397,3,RMSprop,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,50,25,16,500
112,BidirectionalGRU,0.8333333730697632,0.8024691343307495,3,adam,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,50,25,16,500
113,BidirectionalGRU,0.8333333730697632,0.7654321193695068,6,adam,0.16666666666666666,0.0,0.0,0.5,0.0,0.3333333333333333,0.0,0.0,0.0,50,25,16,262
114,BidirectionalGRU,0.8333333730697632,0.8086420297622681,4,adam,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,50,25,16,275
115,BidirectionalGRU,0.8333333730697632,0.7777777910232544,4,adam,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,50,25,16,336
116,BidirectionalGRU,0.8333333730697632,0.7777777910232544,7,RMSprop,0.14285714285714285,0.0,0.0,0.7142857142857143,0.0,0.14285714285714285,0.0,0.0,0.0,50,25,16,210
117,BidirectionalGRU,0.8333333730697632,0.7839505672454834,7,RMSprop,0.14285714285714285,0.0,0.0,0.7142857142857143,0.0,0.14285714285714285,0.0,0.0,0.0,50,25,16,210
118,BidirectionalGRU,0.8333333730697632,0.8456790447235107,4,RMSprop,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,200,25,64,275
119,BidirectionalGRU,0.8333333730697632,0.8209877014160156,4,RMSprop,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,200,25,64,275
120,BidirectionalGRU,0.8333333730697632,0.8580247163772583,3,adam,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,200,25,64,500
121,BidirectionalGRU,0.8333333730697632,0.8456790447235107,3,RMSprop,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,200,25,64,500
122,BidirectionalGRU,0.8333333730697632,0.8333333730697632,5,RMSprop,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,200,25,64,300
123,BidirectionalGRU,0.8333333730697632,0.8395061492919922,5,RMSprop,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,200,25,64,300
124,BidirectionalGRU,0.8333333730697632,0.8703703880310059,6,adam,0.16666666666666666,0.0,0.0,0.5,0.0,0.3333333333333333,0.0,0.0,0.0,200,25,64,270
125,BidirectionalGRU,0.8333333730697632,0.8827160596847534,5,RMSprop,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,200,25,64,300
126,BidirectionalGRU,0.8333333730697632,0.895061731338501,7,RMSprop,0.14285714285714285,0.0,0.0,0.7142857142857143,0.0,0.14285714285714285,0.0,0.0,0.0,200,25,64,216
127,BidirectionalGRU,0.8333333730697632,0.7654321193695068,4,RMSprop,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,200,25,64,275
128,BidirectionalGRU,0.8333333730697632,0.8395061492919922,4,RMSprop,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,400,50,256,275
129,BidirectionalGRU,0.8333333730697632,0.8703703880310059,5,RMSprop,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,400,50,16,300
130,BidirectionalGRU,0.8333333730697632,0.8765432238578796,4,adam,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,400,50,16,350
131,BidirectionalGRU,0.8333333730697632,0.8641974925994873,7,RMSprop,0.14285714285714285,0.0,0.0,0.7142857142857143,0.0,0.14285714285714285,0.0,0.0,0.0,400,50,16,216
132,BidirectionalGRU,0.8333333730697632,0.9960159063339233,6,adam,0.16666666666666666,0.0,0.0,0.5,0.0,0.3333333333333333,0.0,0.0,0.0,400,0,16,262
133,BidirectionalGRU,0.8333333730697632,0.9721115827560425,4,RMSprop,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,400,0,16,336
134,BidirectionalGRU,0.8333333730697632,0.9472111463546753,4,RMSprop,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,400,0,16,275
135,BidirectionalGRU,0.8333333730697632,0.9701195359230042,7,RMSprop,0.14285714285714285,0.0,0.0,0.7142857142857143,0.0,0.14285714285714285,0.0,0.0,0.0,400,0,16,210
136,BidirectionalGRU,0.8333333730697632,0.9990040063858032,5,RMSprop,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,400,0,16,300
137,BidirectionalGRU,0.8333333730697632,0.8086419701576233,4,adam,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,200,25,16,275
138,BidirectionalGRU,0.8333333730697632,0.8580247163772583,7,RMSprop,0.14285714285714285,0.0,0.0,0.7142857142857143,0.0,0.14285714285714285,0.0,0.0,0.0,200,25,16,225
139,BidirectionalGRU,0.8333333730697632,0.8271604776382446,4,RMSprop,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,200,25,16,275
140,BidirectionalGRU,0.8333333730697632,0.9197530746459961,4,adam,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,200,25,16,366
141,BidirectionalGRU,0.8333333730697632,0.8456790447235107,6,adam,0.16666666666666666,0.0,0.0,0.5,0.0,0.3333333333333333,0.0,0.0,0.0,200,25,16,280
142,BidirectionalGRU,0.8333333730697632,0.8148148059844971,7,RMSprop,0.14285714285714285,0.0,0.0,0.7142857142857143,0.0,0.14285714285714285,0.0,0.0,0.0,200,25,16,225
143,BidirectionalGRU,0.8333333730697632,0.8703703880310059,5,RMSprop,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,200,25,16,300
144,BidirectionalGRU,0.8333333730697632,0.7283951044082642,4,RMSprop,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,10,25,64,275
